 1.00000000e-02  3.50126003e+01  1.00000000e-02 -1.79863002e+02 
 8.91250938e+00  3.51960613e+01  8.91250938e+00 -1.74996454e+02 
 1.00000000e+01  3.52402127e+01  1.00000000e+01 -1.74465659e+02 
 1.12201845e+01  3.52940163e+01  1.12201845e+01 -1.73899290e+02 
 1.25892541e+01  3.53590860e+01  1.25892541e+01 -1.73302554e+02 
 1.41253754e+01  3.54370652e+01  1.41253754e+01 -1.72683673e+02 
 1.58489319e+01  3.55295032e+01  1.58489319e+01 -1.72054402e+02 
 1.77827941e+01  3.56376850e+01  1.77827941e+01 -1.71430325e+02 
 1.99526231e+01  3.57624195e+01  1.99526231e+01 -1.70830785e+02 
 2.23872114e+01  3.59038079e+01  2.23872114e+01 -1.70278245e+02 
 2.51188643e+01  3.60610288e+01  2.51188643e+01 -1.69796977e+02 
 2.81838293e+01  3.62321912e+01  2.81838293e+01 -1.69411063e+02 
 3.16227766e+01  3.64143103e+01  3.16227766e+01 -1.69141912e+02 
 3.54813389e+01  3.66034433e+01  3.54813389e+01 -1.69005668e+02 
 3.98107171e+01  3.67949888e+01  3.98107171e+01 -1.69011053e+02 
 4.46683592e+01  3.69841114e+01  4.46683592e+01 -1.69158127e+02 
 5.01187234e+01  3.71662107e+01  5.01187234e+01 -1.69438291e+02 
 5.62341325e+01  3.73373454e+01  5.62341325e+01 -1.69835529e+02 
 6.30957344e+01  3.74945332e+01  6.30957344e+01 -1.70328572e+02 
 7.07945784e+01  3.76358852e+01  7.07945784e+01 -1.70893488e+02 
 7.94328235e+01  3.77605821e+01  7.94328235e+01 -1.71506170e+02 
 8.91250938e+01  3.78687266e+01  8.91250938e+01 -1.72144332e+02 
 1.00000000e+02  3.79611288e+01  1.00000000e+02 -1.72788829e+02 
 1.12201845e+02  3.80390743e+01  1.12201845e+02 -1.73424283e+02 
 1.25892541e+02  3.81041125e+01  1.25892541e+02 -1.74039171e+02 
 1.41253754e+02  3.81578863e+01  1.41253754e+02 -1.74625518e+02 
 1.58489319e+02  3.82020093e+01  1.58489319e+02 -1.75178387e+02 
 1.77827941e+02  3.82379861e+01  1.77827941e+02 -1.75695300e+02 
 1.99526231e+02  3.82671690e+01  1.99526231e+02 -1.76175668e+02 
 2.23872114e+02  3.82907400e+01  2.23872114e+02 -1.76620288e+02 
 2.51188643e+02  3.83097109e+01  2.51188643e+02 -1.77030933e+02 
 2.81838293e+02  3.83249338e+01  2.81838293e+02 -1.77410023e+02 
 3.16227766e+02  3.83371174e+01  3.16227766e+02 -1.77760382e+02 
 3.54813389e+02  3.83468447e+01  3.54813389e+02 -1.78085060e+02 
 3.98107171e+02  3.83545919e+01  3.98107171e+02 -1.78387214e+02 
 4.46683592e+02  3.83607446e+01  4.46683592e+02 -1.78670026e+02 
 5.01187234e+02  3.83656134e+01  5.01187234e+02 -1.78936655e+02 
 5.62341325e+02  3.83694467e+01  5.62341325e+02 -1.79190216e+02 
 6.30957344e+02  3.83724417e+01  6.30957344e+02 -1.79433769e+02 
 7.07945784e+02  3.83747536e+01  7.07945784e+02 -1.79670331e+02 
 7.94328235e+02  3.83765027e+01  7.94328235e+02 -1.79902885e+02 
 8.91250938e+02  3.83777805e+01  8.91250938e+02 -1.80134407e+02 
 1.00000000e+03  3.83786538e+01  1.00000000e+03 -1.80367887e+02 
 1.12201845e+03  3.83791686e+01  1.12201845e+03 -1.80606364e+02 
 1.25892541e+03  3.83793518e+01  1.25892541e+03 -1.80852955e+02 
 1.41253754e+03  3.83792129e+01  1.41253754e+03 -1.81110894e+02 
 1.58489319e+03  3.83787445e+01  1.58489319e+03 -1.81383569e+02 
 1.77827941e+03  3.83779217e+01  1.77827941e+03 -1.81674564e+02 
 1.99526231e+03  3.83767009e+01  1.99526231e+03 -1.81987700e+02 
 2.23872114e+03  3.83750173e+01  2.23872114e+03 -1.82327081e+02 
 2.51188643e+03  3.83727819e+01  2.51188643e+03 -1.82697147e+02 
 2.81838293e+03  3.83698767e+01  2.81838293e+03 -1.83102720e+02 
