 1.00000000e+05 -2.05427987e+01  1.00000000e+05 -4.76354671e+01 
 1.12201845e+05 -2.11363325e+01  1.12201845e+05 -5.07260768e+01 
 1.25892541e+05 -2.17836069e+01  1.25892541e+05 -5.37094067e+01 
 1.41253754e+05 -2.24809920e+01  1.41253754e+05 -5.65491637e+01 
 1.58489319e+05 -2.32239941e+01  1.58489319e+05 -5.92156886e+01 
 1.77827941e+05 -2.40075981e+01  1.77827941e+05 -6.16865627e+01 
 1.99526231e+05 -2.48265884e+01  1.99526231e+05 -6.39464459e+01 
 2.23872114e+05 -2.56758129e+01  2.23872114e+05 -6.59863351e+01 
 2.51188643e+05 -2.65503713e+01  2.51188643e+05 -6.78024761e+01 
 2.81838293e+05 -2.74457297e+01  2.81838293e+05 -6.93951428e+01 
 3.16227766e+05 -2.83577686e+01  3.16227766e+05 -7.07674452e+01 
 3.54813389e+05 -2.92827791e+01  3.54813389e+05 -7.19242713e+01 
 3.98107171e+05 -3.02174223e+01  3.98107171e+05 -7.28714152e+01 
 4.46683592e+05 -3.11586629e+01  4.46683592e+05 -7.36149092e+01 
 5.01187234e+05 -3.21036881e+01  5.01187234e+05 -7.41605546e+01 
 5.62341325e+05 -3.30498171e+01  5.62341325e+05 -7.45136396e+01 
 6.30957344e+05 -3.39944065e+01  6.30957344e+05 -7.46788318e+01 
 7.07945784e+05 -3.49347531e+01  7.07945784e+05 -7.46602373e+01 
 7.94328235e+05 -3.58679984e+01  7.94328235e+05 -7.44616280e+01 
 8.91250938e+05 -3.67910360e+01  8.91250938e+05 -7.40868435e+01 
 1.00000000e+06 -3.77004272e+01  1.00000000e+06 -7.35403820e+01 
 1.12201845e+06 -3.85923300e+01  1.12201845e+06 -7.28281923e+01 
 1.25892541e+06 -3.94624529e+01  1.25892541e+06 -7.19586695e+01 
 1.41253754e+06 -4.03060435e+01  1.41253754e+06 -7.09438381e+01 
 1.58489319e+06 -4.11179273e+01  1.58489319e+06 -6.98006651e+01 
 1.77827941e+06 -4.18926104e+01  1.77827941e+06 -6.85523969e+01 
 1.99526231e+06 -4.26244541e+01  1.99526231e+06 -6.72297494e+01 
 2.23872114e+06 -4.33079212e+01  2.23872114e+06 -6.58717334e+01 
 2.51188643e+06 -4.39378757e+01  2.51188643e+06 -6.45258692e+01 
 2.81838293e+06 -4.45099009e+01  2.81838293e+06 -6.32475904e+01 
 3.16227766e+06 -4.50205861e+01  3.16227766e+06 -6.20987402e+01 
 3.54813389e+06 -4.54677251e+01  3.54813389e+06 -6.11452341e+01 
 3.98107171e+06 -4.58503848e+01  3.98107171e+06 -6.04541375e+01 
 4.46683592e+06 -4.61688268e+01  4.46683592e+06 -6.00905269e+01 
 5.01187234e+06 -4.64242978e+01  5.01187234e+06 -6.01145221e+01 
 5.62341325e+06 -4.66187378e+01  5.62341325e+06 -6.05787765e+01 
 6.30957344e+06 -4.67544715e+01  6.30957344e+06 -6.15265593e+01 
 7.07945784e+06 -4.68339496e+01  7.07945784e+06 -6.29904001e+01 
 7.94328235e+06 -4.68595930e+01  7.94328235e+06 -6.49911735e+01 
 8.91250938e+06 -4.68337738e+01  8.91250938e+06 -6.75374930e+01 
 1.00000000e+07 -4.67589370e+01  1.00000000e+07 -7.06253429e+01 
 1.12201845e+07 -4.66378429e+01  1.12201845e+07 -7.42379782e+01 
 1.25892541e+07 -4.64738811e+01  1.25892541e+07 -7.83461949e+01 
 1.41253754e+07 -4.62713856e+01  1.41253754e+07 -8.29091017e+01 
 1.58489319e+07 -4.60358675e+01  1.58489319e+07 -8.78754719e+01 
 1.77827941e+07 -4.57740898e+01  1.77827941e+07 -9.31856623e+01 
 1.99526231e+07 -4.54939310e+01  1.99526231e+07 -9.87739850e+01 
 2.23872114e+07 -4.52040338e+01  2.23872114e+07 -1.04571365e+02 
 2.51188643e+07 -4.49132850e+01  2.51188643e+07 -1.10508120e+02 
 2.81838293e+07 -4.46302172e+01  2.81838293e+07 -1.16516747e+02 
 3.16227766e+07 -4.43624431e+01  3.16227766e+07 -1.22534604e+02 
 3.54813389e+07 -4.41162259e+01  3.54813389e+07 -1.28506389e+02 
 3.98107171e+07 -4.38962526e+01  3.98107171e+07 -1.34386222e+02 
