point_id,corner,temp_c,vdd_v,vcm_v,op_pass,vout_dc_v,vd1_dc_v,vd2_dc_v,vtail_dc_v,vibias_dc_v,ivdd_total_a,ivdd_signal_path_a,av0_db,gbw_hz,pm_deg,gm_status,gm_db,gm_freq_hz
mos_ff_27C_1.20V,mos_ff,27,1.20,0.6,1,0.585237,0.671846,0.501444,0.204243,0.341318,0.000109456,9.9456e-05,41.9981,5.63993e+06,77.4179,measured,23.0948,5.45913e+07
mos_ff_27C_1.32V,mos_ff,27,1.32,0.66,1,0.646345,0.786506,0.61822,0.261497,0.341318,0.000112079,0.000102079,43.1373,5.82973e+06,77.0475,measured,22.9342,5.5188e+07
mos_ff_125C_1.08V,mos_ff,125,1.08,0.54,1,0.521204,0.582242,0.41882,0.206157,0.297521,0.000101293,9.1293e-05,39.0791,4.87388e+06,77.0532,measured,22.6399,4.50738e+07
mos_ff_125C_1.20V,mos_ff,125,1.20,0.6,1,0.582813,0.695818,0.535444,0.26389,0.297521,0.00010364,9.364e-05,40.4597,4.99669e+06,76.7533,measured,22.5574,4.54995e+07
mos_ff_125C_1.32V,mos_ff,125,1.32,0.66,1,0.644187,0.810513,0.652241,0.321914,0.297521,0.000105824,9.5824e-05,41.6923,5.15194e+06,76.3643,measured,22.4077,4.59424e+07
mos_sf_-40C_1.08V,mos_sf,-40,1.08,0.54,1,0.525604,0.562576,0.347276,0.0506921,0.440982,0.000111494,0.000101494,44.0231,6.62333e+06,77.1361,measured,22.8027,6.3757e+07
mos_sf_-40C_1.20V,mos_sf,-40,1.20,0.6,1,0.587706,0.656243,0.463879,0.0994322,0.440982,0.000116085,0.000106085,44.3623,6.2275e+06,78.0324,measured,23.5822,6.45356e+07
mos_sf_-40C_1.32V,mos_sf,-40,1.32,0.66,1,0.648689,0.768089,0.580713,0.154673,0.440982,0.000119295,0.000109295,44.8811,6.09685e+06,78.3581,measured,23.9368,6.49373e+07
mos_sf_27C_1.08V,mos_sf,27,1.08,0.54,1,0.523733,0.557889,0.35556,0.0816465,0.41388,0.000106245,9.6245e-05,42.1969,5.9596e+06,76.6532,measured,22.454,5.48107e+07
mos_sf_27C_1.20V,mos_sf,27,1.20,0.6,1,0.585747,0.659714,0.472096,0.134175,0.41388,0.000109837,9.9837e-05,42.9077,5.60723e+06,77.5487,measured,23.1975,5.52676e+07
mos_sf_27C_1.32V,mos_sf,27,1.32,0.66,1,0.646931,0.772217,0.58885,0.190293,0.41388,0.000112613,0.000102613,43.8668,5.63469e+06,77.5587,measured,23.3022,5.57199e+07
mos_sf_125C_1.08V,mos_sf,125,1.08,0.54,1,0.521262,0.574578,0.389558,0.137577,0.370492,0.000100557,9.055700000000001e-05,40.1002,5.00546e+06,76.6442,measured,22.3731,4.52864e+07
mos_sf_125C_1.20V,mos_sf,125,1.20,0.6,1,0.583261,0.682485,0.506103,0.192944,0.370492,0.000103255,9.3255e-05,41.254,4.90965e+06,76.931,measured,22.708,4.56223e+07
