 1.87635298e-02  4.98593966e-01  1.87635298e-02  5.81283465e-01  1.87635298e-02  4.20611697e-01  1.87635298e-02  2.13542469e-01  1.87635298e-02  2.97521156e-01  1.87635298e-02 -1.00627964e-04 
 1.87675298e-02  4.98971783e-01  1.87675298e-02  5.81283827e-01  1.87675298e-02  4.20581619e-01  1.87675298e-02  2.13540966e-01  1.87675298e-02  2.97521156e-01  1.87675298e-02 -1.00640224e-04 
 1.87715298e-02  4.99349645e-01  1.87715298e-02  5.81284189e-01  1.87715298e-02  4.20551542e-01  1.87715298e-02  2.13539462e-01  1.87715298e-02  2.97521156e-01  1.87715298e-02 -1.00652482e-04 
 1.87755298e-02  4.99727554e-01  1.87755298e-02  5.81284550e-01  1.87755298e-02  4.20521468e-01  1.87755298e-02  2.13537958e-01  1.87755298e-02  2.97521156e-01  1.87755298e-02 -1.00664737e-04 
 1.87795298e-02  5.00105506e-01  1.87795298e-02  5.81284912e-01  1.87795298e-02  4.20491395e-01  1.87795298e-02  2.13536455e-01  1.87795298e-02  2.97521156e-01  1.87795298e-02 -1.00676990e-04 
 1.87835298e-02  5.00483508e-01  1.87835298e-02  5.81285274e-01  1.87835298e-02  4.20461324e-01  1.87835298e-02  2.13534951e-01  1.87835298e-02  2.97521156e-01  1.87835298e-02 -1.00689240e-04 
 1.87875298e-02  5.00861555e-01  1.87875298e-02  5.81285635e-01  1.87875298e-02  4.20431254e-01  1.87875298e-02  2.13533447e-01  1.87875298e-02  2.97521156e-01  1.87875298e-02 -1.00701487e-04 
 1.87915298e-02  5.01239641e-01  1.87915298e-02  5.81285997e-01  1.87915298e-02  4.20401187e-01  1.87915298e-02  2.13531944e-01  1.87915298e-02  2.97521156e-01  1.87915298e-02 -1.00713732e-04 
 1.87955298e-02  5.01617771e-01  1.87955298e-02  5.81286358e-01  1.87955298e-02  4.20371121e-01  1.87955298e-02  2.13530440e-01  1.87955298e-02  2.97521156e-01  1.87955298e-02 -1.00725974e-04 
 1.87995298e-02  5.01995950e-01  1.87995298e-02  5.81286720e-01  1.87995298e-02  4.20341056e-01  1.87995298e-02  2.13528936e-01  1.87995298e-02  2.97521156e-01  1.87995298e-02 -1.00738214e-04 
 1.88035298e-02  5.02374170e-01  1.88035298e-02  5.81287082e-01  1.88035298e-02  4.20310994e-01  1.88035298e-02  2.13527433e-01  1.88035298e-02  2.97521156e-01  1.88035298e-02 -1.00750452e-04 
 1.88075298e-02  5.02752431e-01  1.88075298e-02  5.81287443e-01  1.88075298e-02  4.20280933e-01  1.88075298e-02  2.13525929e-01  1.88075298e-02  2.97521156e-01  1.88075298e-02 -1.00762686e-04 
 1.88115298e-02  5.03130743e-01  1.88115298e-02  5.81287805e-01  1.88115298e-02  4.20250874e-01  1.88115298e-02  2.13524425e-01  1.88115298e-02  2.97521156e-01  1.88115298e-02 -1.00774919e-04 
