-3.26047020e-03  2.57430628e-02 -3.26047020e-03 -3.78553721e-05 
-3.25047020e-03  2.57732687e-02 -3.25047020e-03 -3.78748165e-05 
-3.24047020e-03  2.58034990e-02 -3.24047020e-03 -3.78942719e-05 
-3.23047020e-03  2.58337537e-02 -3.23047020e-03 -3.79137383e-05 
-3.22047020e-03  2.58640329e-02 -3.22047020e-03 -3.79332156e-05 
-3.21047020e-03  2.58943369e-02 -3.21047020e-03 -3.79527042e-05 
-3.20047020e-03  2.59246655e-02 -3.20047020e-03 -3.79722037e-05 
-3.19047020e-03  2.59550183e-02 -3.19047020e-03 -3.79917140e-05 
-3.18047020e-03  2.59853962e-02 -3.18047020e-03 -3.80112356e-05 
-3.17047020e-03  2.60157986e-02 -3.17047020e-03 -3.80307682e-05 
-3.16047020e-03  2.60462257e-02 -3.16047020e-03 -3.80503118e-05 
-3.15047020e-03  2.60766775e-02 -3.15047020e-03 -3.80698665e-05 
-3.14047020e-03  2.61071540e-02 -3.14047020e-03 -3.80894321e-05 
-3.13047020e-03  2.61376549e-02 -3.13047020e-03 -3.81090086e-05 
-3.12047020e-03  2.61681807e-02 -3.12047020e-03 -3.81285963e-05 
-3.11047020e-03  2.61987312e-02 -3.11047020e-03 -3.81481949e-05 
-3.10047020e-03  2.62293065e-02 -3.10047020e-03 -3.81678046e-05 
-3.09047020e-03  2.62599066e-02 -3.09047020e-03 -3.81874253e-05 
-3.08047020e-03  2.62905313e-02 -3.08047020e-03 -3.82070569e-05 
-3.07047020e-03  2.63211807e-02 -3.07047020e-03 -3.82266995e-05 
-3.06047020e-03  2.63518551e-02 -3.06047020e-03 -3.82463532e-05 
-3.05047020e-03  2.63825541e-02 -3.05047020e-03 -3.82660177e-05 
-3.04047020e-03  2.64132783e-02 -3.04047020e-03 -3.82856935e-05 
-3.03047020e-03  2.64440270e-02 -3.03047020e-03 -3.83053801e-05 
-3.02047020e-03  2.64748005e-02 -3.02047020e-03 -3.83250776e-05 
-3.01047020e-03  2.65055990e-02 -3.01047020e-03 -3.83447862e-05 
-3.00047020e-03  2.65364226e-02 -3.00047020e-03 -3.83645059e-05 
-2.99047020e-03  2.65672707e-02 -2.99047020e-03 -3.83842363e-05 
-2.98047020e-03  2.65981438e-02 -2.98047020e-03 -3.84039778e-05 
-2.97047020e-03  2.66290418e-02 -2.97047020e-03 -3.84237303e-05 
-2.96047020e-03  2.66599649e-02 -2.96047020e-03 -3.84434938e-05 
-2.95047020e-03  2.66909125e-02 -2.95047020e-03 -3.84632680e-05 
-2.94047020e-03  2.67218857e-02 -2.94047020e-03 -3.84830536e-05 
-2.93047020e-03  2.67528835e-02 -2.93047020e-03 -3.85028499e-05 
-2.92047020e-03  2.67839068e-02 -2.92047020e-03 -3.85226575e-05 
-2.91047020e-03  2.68149543e-02 -2.91047020e-03 -3.85424755e-05 
-2.90047020e-03  2.68460273e-02 -2.90047020e-03 -3.85623048e-05 
-2.89047020e-03  2.68771253e-02 -2.89047020e-03 -3.85821450e-05 
-2.88047020e-03  2.69082482e-02 -2.88047020e-03 -3.86019961e-05 
-2.87047020e-03  2.69393962e-02 -2.87047020e-03 -3.86218582e-05 
-2.86047020e-03  2.69705693e-02 -2.86047020e-03 -3.86417312e-05 
-2.85047020e-03  2.70017676e-02 -2.85047020e-03 -3.86616153e-05 
-2.84047020e-03  2.70329908e-02 -2.84047020e-03 -3.86815101e-05 
-2.83047020e-03  2.70642394e-02 -2.83047020e-03 -3.87014160e-05 
-2.82047020e-03  2.70955129e-02 -2.82047020e-03 -3.87213328e-05 
-2.81047020e-03  2.71268116e-02 -2.81047020e-03 -3.87412605e-05 
-2.80047020e-03  2.71581355e-02 -2.80047020e-03 -3.87611992e-05 
-2.79047020e-03  2.71894843e-02 -2.79047020e-03 -3.87811486e-05 
-2.78047020e-03  2.72208587e-02 -2.78047020e-03 -3.88011092e-05 
-2.77047020e-03  2.72522583e-02 -2.77047020e-03 -3.88210807e-05 
-2.76047020e-03  2.72836828e-02 -2.76047020e-03 -3.88410629e-05 
-2.75047020e-03  2.73151329e-02 -2.75047020e-03 -3.88610563e-05 
-2.74047020e-03  2.73466078e-02 -2.74047020e-03 -3.88810603e-05 
-2.73047020e-03  2.73781084e-02 -2.73047020e-03 -3.89010755e-05 
-2.72047020e-03  2.74096340e-02 -2.72047020e-03 -3.89211015e-05 
-2.71047020e-03  2.74411852e-02 -2.71047020e-03 -3.89411385e-05 
-2.70047020e-03  2.74727614e-02 -2.70047020e-03 -3.89611862e-05 
