device,length_um,corner,vgs_v,vds_v,ids_a,gm_s,gds_s,cgg_f,gm_id_per_v,gm_gds,ft_hz,vth_v,overdrive_v
nmos,0.13u,mos_ff,0.3500,0.6000,2.154929e-05,4.388850e-04,2.349461e-05,1.403930e-14,20.366564,18.680242,4.975370e+09,0.3039,0.0461
nmos,0.13u,mos_ff,0.3700,0.6000,3.167451e-05,5.842867e-04,3.236822e-05,1.436230e-14,18.446590,18.051246,6.474737e+09,0.3039,0.0661
nmos,0.13u,mos_ff,0.3900,0.6000,4.492075e-05,7.514518e-04,4.245082e-05,1.469990e-14,16.728389,17.701703,8.135924e+09,0.3039,0.0861
nmos,0.13u,mos_ff,0.4100,0.6000,6.173258e-05,9.420432e-04,5.342299e-05,1.502950e-14,15.260065,17.633667,9.975770e+09,0.3039,0.1061
nmos,0.13u,mos_ff,0.4300,0.6000,8.260248e-05,1.158178e-03,6.510181e-05,1.533630e-14,14.021104,17.790258,1.201918e+10,0.3039,0.1261
nmos,0.13u,mos_ff,0.4500,0.6000,1.080597e-04,1.400887e-03,7.744672e-05,1.561340e-14,12.964010,18.088397,1.427992e+10,0.3039,0.1461
nmos,0.13u,mos_ff,0.4700,0.6000,1.386380e-04,1.669616e-03,9.051103e-05,1.586040e-14,12.042990,18.446547,1.675416e+10,0.3039,0.1661
nmos,0.13u,mos_ff,0.4900,0.6000,1.748443e-04,1.962495e-03,1.043921e-04,1.607980e-14,11.224244,18.799267,1.942442e+10,0.3039,0.1861
nmos,0.13u,mos_ff,0.5100,0.6000,2.171378e-04,2.276808e-03,1.191993e-04,1.627560e-14,10.485544,19.100850,2.226432e+10,0.3039,0.2061
nmos,0.13u,mos_ff,0.5300,0.6000,2.659167e-04,2.609369e-03,1.350397e-04,1.645210e-14,9.812731,19.322977,2.524261e+10,0.3039,0.2261
nmos,0.13u,mos_ff,0.5500,0.6000,3.215125e-04,2.956755e-03,1.520137e-04,1.661290e-14,9.196392,19.450582,2.832631e+10,0.3039,0.2461
nmos,0.13u,mos_ff,0.5700,0.6000,3.841869e-04,3.315442e-03,1.702181e-04,1.676130e-14,8.629763,19.477611,3.148139e+10,0.3039,0.2661
nmos,0.13u,mos_ff,0.5900,0.6000,4.541302e-04,3.681884e-03,1.897523e-04,1.689980e-14,8.107552,19.403633,3.467438e+10,0.3039,0.2861
nmos,0.13u,mos_ff,0.6100,0.6000,5.314622e-04,4.052562e-03,2.107258e-04,1.703060e-14,7.625306,19.231447,3.787214e+10,0.3039,0.3061
nmos,0.13u,mos_ff,0.6300,0.6000,6.162327e-04,4.424032e-03,2.332671e-04,1.715510e-14,7.179158,18.965521,4.104357e+10,0.3039,0.3261
nmos,0.13u,mos_ff,0.6500,0.6000,7.084235e-04,4.792965e-03,2.575309e-04,1.727440e-14,6.765678,18.611223,4.415922e+10,0.3039,0.3461
nmos,0.13u,mos_ff,0.6700,0.6000,8.079513e-04,5.156193e-03,2.837043e-04,1.738930e-14,6.381812,18.174532,4.719187e+10,0.3039,0.3661
nmos,0.13u,mos_ff,0.6900,0.6000,9.146713e-04,5.510756e-03,3.120091e-04,1.750040e-14,6.024848,17.662164,5.011680e+10,0.3039,0.3861
nmos,0.13u,mos_ff,0.7100,0.6000,1.028382e-03,5.853950e-03,3.427013e-04,1.760810e-14,5.692389,17.081785,5.291230e+10,0.3039,0.4061
nmos,0.13u,mos_ff,0.7300,0.6000,1.148829e-03,6.183365e-03,3.760676e-04,1.771250e-14,5.382320,16.442164,5.556037e+10,0.3039,0.4261
nmos,0.13u,mos_ff,0.7500,0.6000,1.275716e-03,6.496919e-03,4.124180e-04,1.781380e-14,5.092763,15.753238,5.804583e+10,0.3039,0.4461
nmos,0.13u,mos_ff,0.7700,0.6000,1.408706e-03,6.792881e-03,4.520776e-04,1.791210e-14,4.822071,15.025918,6.035700e+10,0.3039,0.4661
nmos,0.13u,mos_ff,0.7900,0.6000,1.547431e-03,7.069875e-03,4.953772e-04,1.800740e-14,4.568782,14.271700,6.248573e+10,0.3039,0.4861
nmos,0.13u,mos_ff,0.8100,0.6000,1.691501e-03,7.326880e-03,5.426439e-04,1.809980e-14,4.331585,13.502188,6.442663e+10,0.3039,0.5061
nmos,0.13u,mos_ff,0.8300,0.6000,1.840507e-03,7.563211e-03,5.941920e-04,1.818930e-14,4.109308,12.728564,6.617750e+10,0.3039,0.5261
nmos,0.13u,mos_ff,0.8500,0.6000,1.994029e-03,7.778497e-03,6.503162e-04,1.827600e-14,3.900895,11.961100,6.773836e+10,0.3039,0.5461
nmos,0.13u,mos_ff,0.8700,0.6000,2.151646e-03,7.972647e-03,7.112849e-04,1.835980e-14,3.705371,11.208796,6.911220e+10,0.3039,0.5661
nmos,0.13u,mos_ff,0.8900,0.6000,2.312935e-03,8.145818e-03,7.773358e-04,1.844100e-14,3.521853,10.479149,7.030243e+10,0.3039,0.5861
nmos,0.13u,mos_ff,0.9100,0.6000,2.477479e-03,8.298376e-03,8.486733e-04,1.851940e-14,3.349524,9.778057,7.131589e+10,0.3039,0.6061
nmos,0.13u,mos_ff,0.9300,0.6000,2.644870e-03,8.430858e-03,9.254659e-04,1.859530e-14,3.187627,9.109853,7.215870e+10,0.3039,0.6261
nmos,0.13u,mos_ff,0.9500,0.6000,2.814714e-03,8.543944e-03,1.007846e-03,1.866860e-14,3.035457,8.477430,7.283947e+10,0.3039,0.6461
nmos,0.13u,mos_ff,0.9700,0.6000,2.986628e-03,8.638416e-03,1.095910e-03,1.873960e-14,2.892364,7.882414,7.336585e+10,0.3039,0.6661
nmos,0.13u,mos_ff,0.9900,0.6000,3.160250e-03,8.715139e-03,1.189720e-03,1.880820e-14,2.757737,7.325370,7.374749e+10,0.3039,0.6861
nmos,0.13u,mos_ff,1.0100,0.6000,3.335234e-03,8.775028e-03,1.289303e-03,1.887470e-14,2.631008,6.806025,7.399265e+10,0.3039,0.7061
nmos,0.13u,mos_ff,1.0300,0.6000,3.511251e-03,8.819032e-03,1.394656e-03,1.893890e-14,2.511650,6.323446,7.411162e+10,0.3039,0.7261
nmos,0.13u,mos_ff,1.0500,0.6000,3.687995e-03,8.848114e-03,1.505744e-03,1.900120e-14,2.399166,5.876241,7.411222e+10,0.3039,0.7461
nmos,0.13u,mos_ff,1.0700,0.6000,3.865176e-03,8.863237e-03,1.622508e-03,1.906150e-14,2.293100,5.462677,7.400404e+10,0.3039,0.7661
nmos,0.13u,mos_ff,1.0900,0.6000,4.042524e-03,8.865354e-03,1.744860e-03,1.911990e-14,2.193024,5.080840,7.379562e+10,0.3039,0.7861
nmos,0.13u,mos_ff,1.1100,0.6000,4.219790e-03,8.855395e-03,1.872694e-03,1.917660e-14,2.098539,4.728693,7.349477e+10,0.3039,0.8061
nmos,0.13u,mos_ff,1.1300,0.6000,4.396740e-03,8.834264e-03,2.005879e-03,1.923150e-14,2.009276,4.404186,7.311009e+10,0.3039,0.8261
nmos,0.13u,mos_ff,1.1500,0.6000,4.573161e-03,8.807769e-03,2.144270e-03,1.928490e-14,1.925970,4.107584,7.268899e+10,0.3039,0.8461
nmos,0.13u,mos_fs,0.0500,0.6000,3.622053e-09,8.366527e-08,4.191603e-09,1.272490e-14,23.098853,19.960209,1.046432e+06,0.3318,-0.2818
nmos,0.13u,mos_fs,0.0700,0.6000,6.267399e-09,1.808693e-07,7.318260e-09,1.274130e-14,28.858750,24.714796,2.259286e+06,0.3318,-0.2618
nmos,0.13u,mos_fs,0.0900,0.6000,1.085683e-08,3.139572e-07,1.279107e-08,1.275790e-14,28.917944,24.545030,3.916620e+06,0.3318,-0.2418
nmos,0.13u,mos_fs,0.1100,0.6000,1.882569e-08,5.453902e-07,2.237516e-08,1.277490e-14,28.970529,24.374807,6.794695e+06,0.3318,-0.2218
nmos,0.13u,mos_fs,0.1300,0.6000,3.267243e-08,9.480066e-07,3.916515e-08,1.279240e-14,29.015491,24.205361,1.179450e+07,0.3318,-0.2018
nmos,0.13u,mos_fs,0.1500,0.6000,5.674595e-08,1.648472e-06,6.858347e-08,1.281050e-14,29.050038,24.035996,2.048027e+07,0.3318,-0.1818
nmos,0.13u,mos_fs,0.1700,0.6000,9.861132e-08,2.866511e-06,1.201179e-07,1.282970e-14,29.068782,23.864145,3.555963e+07,0.3318,-0.1618
nmos,0.13u,mos_fs,0.1900,0.6000,1.714064e-07,4.981425e-06,2.103218e-07,1.285050e-14,29.062071,23.684777,6.169553e+07,0.3318,-0.1418
nmos,0.13u,mos_fs,0.2100,0.6000,2.978683e-07,8.642158e-06,3.679197e-07,1.287430e-14,29.013353,23.489251,1.068363e+08,0.3318,-0.1218
nmos,0.13u,mos_fs,0.2300,0.6000,5.170927e-07,1.494139e-05,6.422725e-07,1.290290e-14,28.894993,23.263319,1.842993e+08,0.3318,-0.1018
nmos,0.13u,mos_fs,0.2500,0.6000,8.955238e-07,2.566814e-05,1.116751e-06,1.293980e-14,28.662711,22.984658,3.157090e+08,0.3318,-0.0818
nmos,0.13u,mos_fs,0.2700,0.6000,1.543818e-06,4.361336e-05,1.928001e-06,1.299020e-14,28.250325,22.621026,5.343476e+08,0.3318,-0.0618
nmos,0.13u,mos_fs,0.2900,0.6000,2.640058e-06,7.278646e-05,3.288688e-06,1.306250e-14,27.570023,22.132370,8.868383e+08,0.3318,-0.0418
nmos,0.13u,mos_fs,0.3100,0.6000,4.455277e-06,1.181967e-04,5.501795e-06,1.316800e-14,26.529596,21.483298,1.428584e+09,0.3318,-0.0218
nmos,0.13u,mos_fs,0.3300,0.6000,7.367927e-06,1.847602e-04,8.938437e-06,1.331970e-14,25.076280,20.670303,2.207670e+09,0.3318,-0.0018
nmos,0.13u,mos_fs,0.3500,0.6000,1.184569e-05,2.754592e-04,1.394511e-05,1.352820e-14,23.253960,19.753103,3.240689e+09,0.3318,0.0182
nmos,0.13u,mos_fs,0.3700,0.6000,1.838629e-05,3.902012e-04,2.069150e-05,1.379470e-14,21.222400,18.858043,4.501907e+09,0.3318,0.0382
nmos,0.13u,mos_fs,0.3900,0.6000,2.745374e-05,5.270600e-04,2.906623e-05,1.410660e-14,19.198113,18.133071,5.946451e+09,0.3318,0.0582
nmos,0.13u,mos_fs,0.4100,0.6000,3.946869e-05,6.850426e-04,3.873990e-05,1.444070e-14,17.356608,17.683128,7.550044e+09,0.3318,0.0782
nmos,0.13u,mos_fs,0.4300,0.6000,5.485544e-05,8.653970e-04,4.935474e-05,1.477270e-14,15.775956,17.534223,9.323428e+09,0.3318,0.0982
nmos,0.13u,mos_fs,0.4500,0.6000,7.408457e-05,1.070423e-03,6.067670e-05,1.508480e-14,14.448663,17.641418,1.129369e+10,0.3318,0.1182
nmos,0.13u,mos_fs,0.4700,0.6000,9.767235e-05,1.301626e-03,7.262807e-05,1.536800e-14,13.326453,17.921804,1.347997e+10,0.3318,0.1382
nmos,0.13u,mos_fs,0.4900,0.6000,1.261496e-04,1.558866e-03,8.524273e-05,1.562040e-14,12.357281,18.287378,1.588315e+10,0.3318,0.1582
nmos,0.13u,mos_fs,0.5100,0.6000,1.600270e-04,1.840500e-03,9.860925e-05,1.584440e-14,11.501184,18.664578,1.848758e+10,0.3318,0.1782
nmos,0.13u,mos_fs,0.5300,0.6000,1.997696e-04,2.143880e-03,1.128313e-04,1.604380e-14,10.731763,19.000756,2.126735e+10,0.3318,0.1982
nmos,0.13u,mos_fs,0.5500,0.6000,2.457822e-04,2.465791e-03,1.280076e-04,1.622320e-14,10.032423,19.262848,2.419022e+10,0.3318,0.2182
nmos,0.13u,mos_fs,0.5700,0.6000,2.984013e-04,2.802734e-03,1.442253e-04,1.638650e-14,9.392499,19.433026,2.722174e+10,0.3318,0.2382
nmos,0.13u,mos_fs,0.5900,0.6000,3.578915e-04,3.151094e-03,1.615604e-04,1.653720e-14,8.804607,19.504124,3.032631e+10,0.3318,0.2582
nmos,0.13u,mos_fs,0.6100,0.6000,4.244450e-04,3.507239e-03,1.800828e-04,1.667800e-14,8.263118,19.475702,3.346891e+10,0.3318,0.2782
nmos,0.13u,mos_fs,0.6300,0.6000,4.981811e-04,3.867582e-03,1.998634e-04,1.681100e-14,7.763406,19.351127,3.661560e+10,0.3318,0.2982
nmos,0.13u,mos_fs,0.6500,0.6000,5.791483e-04,4.228631e-03,2.209828e-04,1.693770e-14,7.301465,19.135566,3.973429e+10,0.3318,0.3182
nmos,0.13u,mos_fs,0.6700,0.6000,6.673264e-04,4.587036e-03,2.435394e-04,1.705950e-14,6.873752,18.834883,4.279431e+10,0.3318,0.3382
nmos,0.13u,mos_fs,0.6900,0.6000,7.626297e-04,4.939637e-03,2.676567e-04,1.717680e-14,6.477111,18.455122,4.576916e+10,0.3318,0.3582
nmos,0.13u,mos_fs,0.7100,0.6000,8.649118e-04,5.283509e-03,2.934871e-04,1.729030e-14,6.108726,18.002525,4.863401e+10,0.3318,0.3782
nmos,0.13u,mos_fs,0.7300,0.6000,9.739701e-04,5.616012e-03,3.212138e-04,1.740020e-14,5.766103,17.483720,5.136815e+10,0.3318,0.3982
nmos,0.13u,mos_fs,0.7500,0.6000,1.089552e-03,5.934826e-03,3.510476e-04,1.750660e-14,5.447033,16.906044,5.395433e+10,0.3318,0.4182
nmos,0.13u,mos_fs,0.7700,0.6000,1.211363e-03,6.237983e-03,3.832227e-04,1.760960e-14,5.149557,16.277697,5.637867e+10,0.3318,0.4382
nmos,0.13u,mos_fs,0.7900,0.6000,1.339072e-03,6.523889e-03,4.179884e-04,1.770920e-14,4.871948,15.607823,5.863106e+10,0.3318,0.4582
nmos,0.13u,mos_fs,0.8100,0.6000,1.472319e-03,6.791320e-03,4.556017e-04,1.780540e-14,4.612669,14.906266,6.070474e+10,0.3318,0.4782
nmos,0.13u,mos_fs,0.8300,0.6000,1.610724e-03,7.039418e-03,4.963188e-04,1.789820e-14,4.370344,14.183259,6.259614e+10,0.3318,0.4982
nmos,0.13u,mos_fs,0.8500,0.6000,1.753895e-03,7.267662e-03,5.403879e-04,1.798770e-14,4.143727,13.448972,6.430418e+10,0.3318,0.5182
nmos,0.13u,mos_fs,0.8700,0.6000,1.901431e-03,7.475844e-03,5.880426e-04,1.807380e-14,3.931694,12.713099,6.583107e+10,0.3318,0.5382
nmos,0.13u,mos_fs,0.8900,0.6000,2.052929e-03,7.664022e-03,6.394977e-04,1.815670e-14,3.733213,11.984440,6.717999e+10,0.3318,0.5582
nmos,0.13u,mos_fs,0.9100,0.6000,2.207992e-03,7.832483e-03,6.949452e-04,1.823640e-14,3.547333,11.270648,6.835660e+10,0.3318,0.5782
nmos,0.13u,mos_fs,0.9300,0.6000,2.366228e-03,7.981703e-03,7.545530e-04,1.831300e-14,3.373176,10.578055,6.936753e+10,0.3318,0.5982
nmos,0.13u,mos_fs,0.9500,0.6000,2.527260e-03,8.112305e-03,8.184632e-04,1.838670e-14,3.209921,9.911631,7.021997e+10,0.3318,0.6182
nmos,0.13u,mos_fs,0.9700,0.6000,2.690721e-03,8.225025e-03,8.867922e-04,1.845750e-14,3.056811,9.275031,7.092257e+10,0.3318,0.6382
nmos,0.13u,mos_fs,0.9900,0.6000,2.856261e-03,8.320676e-03,9.596312e-04,1.852570e-14,2.913136,8.670702,7.148322e+10,0.3318,0.6582
nmos,0.13u,mos_fs,1.0100,0.6000,3.023548e-03,8.400127e-03,1.037047e-03,1.859130e-14,2.778235,8.100045,7.191115e+10,0.3318,0.6782
nmos,0.13u,mos_fs,1.0300,0.6000,3.192266e-03,8.464277e-03,1.119084e-03,1.865450e-14,2.651495,7.563576,7.221483e+10,0.3318,0.6982
nmos,0.13u,mos_fs,1.0500,0.6000,3.362119e-03,8.514035e-03,1.205763e-03,1.871540e-14,2.532342,7.061118,7.240298e+10,0.3318,0.7182
nmos,0.13u,mos_fs,1.0700,0.6000,3.532827e-03,8.550308e-03,1.297087e-03,1.877410e-14,2.420245,6.591931,7.248410e+10,0.3318,0.7382
nmos,0.13u,mos_fs,1.0900,0.6000,3.704131e-03,8.573988e-03,1.393037e-03,1.883080e-14,2.314710,6.154889,7.246599e+10,0.3318,0.7582
nmos,0.13u,mos_fs,1.1100,0.6000,3.875787e-03,8.585944e-03,1.493580e-03,1.888550e-14,2.215278,5.748567,7.235686e+10,0.3318,0.7782
nmos,0.13u,mos_fs,1.1300,0.6000,4.047569e-03,8.587014e-03,1.598666e-03,1.893840e-14,2.121524,5.371362,7.216374e+10,0.3318,0.7982
nmos,0.13u,mos_fs,1.1500,0.6000,4.219268e-03,8.582848e-03,1.708228e-03,1.898960e-14,2.034203,5.024416,7.193425e+10,0.3318,0.8182
nmos,0.13u,mos_sf,0.0500,0.6000,4.107423e-10,9.756866e-09,4.785068e-10,1.244170e-14,23.754227,20.390235,1.248104e+05,0.3905,-0.3405
nmos,0.13u,mos_sf,0.0700,0.6000,7.337026e-10,2.253917e-08,8.617346e-10,1.245590e-14,30.719763,26.155582,2.879937e+05,0.3905,-0.3205
nmos,0.13u,mos_sf,0.0900,0.6000,1.312309e-09,4.040533e-08,1.554512e-09,1.247020e-14,30.789494,25.992292,5.156860e+05,0.3905,-0.3005
nmos,0.13u,mos_sf,0.1100,0.6000,2.349916e-09,7.250105e-08,2.807640e-09,1.248470e-14,30.852613,25.822773,9.242433e+05,0.3905,-0.2805
nmos,0.13u,mos_sf,0.1300,0.6000,4.212351e-09,1.302068e-07,5.075746e-09,1.249940e-14,30.910719,25.652741,1.657924e+06,0.3905,-0.2605
nmos,0.13u,mos_sf,0.1500,0.6000,7.558187e-09,2.340333e-07,9.183295e-09,1.251430e-14,30.964211,25.484676,2.976400e+06,0.3905,-0.2405
nmos,0.13u,mos_sf,0.1700,0.6000,1.357368e-08,4.209549e-07,1.662586e-08,1.252950e-14,31.012585,25.319286,5.347145e+06,0.3905,-0.2205
nmos,0.13u,mos_sf,0.1900,0.6000,2.439638e-08,7.576078e-07,3.011639e-08,1.254500e-14,31.054107,25.155996,9.611560e+06,0.3905,-0.2005
nmos,0.13u,mos_sf,0.2100,0.6000,4.387800e-08,1.363962e-06,5.457375e-08,1.256100e-14,31.085327,24.993005,1.728217e+07,0.3905,-0.1805
nmos,0.13u,mos_sf,0.2300,0.6000,7.895485e-08,2.455479e-06,9.890440e-08,1.257800e-14,31.099787,24.826792,3.107025e+07,0.3905,-0.1605
nmos,0.13u,mos_sf,0.2500,0.6000,1.420971e-07,4.417212e-06,1.791891e-07,1.259670e-14,31.085870,24.651120,5.580994e+07,0.3905,-0.1405
nmos,0.13u,mos_sf,0.2700,0.6000,2.556433e-07,7.930832e-06,3.243005e-07,1.261830e-14,31.023039,24.455195,1.000318e+08,0.3905,-0.1205
nmos,0.13u,mos_sf,0.2900,0.6000,4.593304e-07,1.418232e-05,5.855432e-07,1.264500e-14,30.876075,24.220792,1.785043e+08,0.3905,-0.1005
nmos,0.13u,mos_sf,0.3100,0.6000,8.229360e-07,2.517118e-05,1.052367e-06,1.268080e-14,30.587044,23.918633,3.159200e+08,0.3905,-0.0805
nmos,0.13u,mos_sf,0.3300,0.6000,1.466177e-06,4.408500e-05,1.875490e-06,1.273210e-14,30.067993,23.505857,5.510753e+08,0.3905,-0.0605
nmos,0.13u,mos_sf,0.3500,0.6000,2.586336e-06,7.553007e-05,3.293918e-06,1.280880e-14,29.203503,22.930161,9.384942e+08,0.3905,-0.0405
nmos,0.13u,mos_sf,0.3700,0.6000,4.487380e-06,1.251151e-04,5.648263e-06,1.292470e-14,27.881548,22.151075,1.540669e+09,0.3905,-0.0205
nmos,0.13u,mos_sf,0.3900,0.6000,7.590939e-06,1.978491e-04,9.340347e-06,1.309480e-14,26.063851,21.182200,2.404669e+09,0.3905,-0.0005
nmos,0.13u,mos_sf,0.4100,0.6000,1.240135e-05,2.958882e-04,1.469973e-05,1.332890e-14,23.859354,20.128819,3.533080e+09,0.3905,0.0195
nmos,0.13u,mos_sf,0.4300,0.6000,1.942647e-05,4.179342e-04,2.180277e-05,1.362300e-14,21.513646,19.168858,4.882647e+09,0.3905,0.0395
nmos,0.13u,mos_sf,0.4500,0.6000,2.911872e-05,5.617442e-04,3.041137e-05,1.395640e-14,19.291514,18.471519,6.405976e+09,0.3905,0.0595
nmos,0.13u,mos_sf,0.4700,0.6000,4.189624e-05,7.271589e-04,4.012833e-05,1.430000e-14,17.356185,18.120836,8.093072e+09,0.3905,0.0795
nmos,0.13u,mos_sf,0.4900,0.6000,5.820507e-05,9.162002e-04,5.062256e-05,1.462880e-14,15.740900,18.098654,9.967857e+09,0.3905,0.0995
nmos,0.13u,mos_sf,0.5100,0.6000,7.854424e-05,1.130888e-03,6.173460e-05,1.492860e-14,14.398102,18.318544,1.205648e+10,0.3905,0.1195
nmos,0.13u,mos_sf,0.5300,0.6000,1.034406e-04,1.371564e-03,7.345086e-05,1.519490e-14,13.259436,18.673219,1.436608e+10,0.3905,0.1395
nmos,0.13u,mos_sf,0.5500,0.6000,1.334068e-04,1.636679e-03,8.583394e-05,1.542950e-14,12.268333,19.067970,1.688231e+10,0.3905,0.1595
nmos,0.13u,mos_sf,0.5700,0.6000,1.689078e-04,1.923335e-03,9.896709e-05,1.563710e-14,11.386893,19.434087,1.957577e+10,0.3905,0.1795
nmos,0.13u,mos_sf,0.5900,0.6000,2.103402e-04,2.227872e-03,1.129237e-04,1.582300e-14,10.591756,19.729003,2.240895e+10,0.3905,0.1995
nmos,0.13u,mos_sf,0.6100,0.6000,2.580226e-04,2.546286e-03,1.277551e-04,1.599200e-14,9.868461,19.930993,2.534105e+10,0.3905,0.2195
nmos,0.13u,mos_sf,0.6300,0.6000,3.121916e-04,2.874473e-03,1.434882e-04,1.614820e-14,9.207400,20.032818,2.833050e+10,0.3905,0.2395
nmos,0.13u,mos_sf,0.6500,0.6000,3.730016e-04,3.208390e-03,1.601294e-04,1.629480e-14,8.601545,20.036233,3.133706e+10,0.3905,0.2595
nmos,0.13u,mos_sf,0.6700,0.6000,4.405272e-04,3.544149e-03,1.776719e-04,1.643410e-14,8.045244,19.947718,3.432307e+10,0.3905,0.2795
nmos,0.13u,mos_sf,0.6900,0.6000,5.147675e-04,3.878097e-03,1.961061e-04,1.656760e-14,7.533687,19.775504,3.725454e+10,0.3905,0.2995
nmos,0.13u,mos_sf,0.7100,0.6000,5.956511e-04,4.206865e-03,2.154312e-04,1.669620e-14,7.062633,19.527650,4.010154e+10,0.3905,0.3195
nmos,0.13u,mos_sf,0.7300,0.6000,6.830421e-04,4.527414e-03,2.356653e-04,1.682050e-14,6.628309,19.211203,4.283822e+10,0.3905,0.3395
nmos,0.13u,mos_sf,0.7500,0.6000,7.767477e-04,4.837070e-03,2.568533e-04,1.694050e-14,6.227337,18.832034,4.544397e+10,0.3905,0.3595
nmos,0.13u,mos_sf,0.7700,0.6000,8.765250e-04,5.133552e-03,2.790706e-04,1.705620e-14,5.856709,18.395173,4.790224e+10,0.3905,0.3795
nmos,0.13u,mos_sf,0.7900,0.6000,9.820897e-04,5.414993e-03,3.024208e-04,1.716750e-14,5.513746,17.905491,5.020084e+10,0.3905,0.3995
nmos,0.13u,mos_sf,0.8100,0.6000,1.093125e-03,5.679954e-03,3.270310e-04,1.727420e-14,5.196070,17.368243,5.233196e+10,0.3905,0.4195
nmos,0.13u,mos_sf,0.8300,0.6000,1.209288e-03,5.927413e-03,3.530436e-04,1.737620e-14,4.901573,16.789465,5.429133e+10,0.3905,0.4395
nmos,0.13u,mos_sf,0.8500,0.6000,1.330221e-03,6.156744e-03,3.806085e-04,1.747340e-14,4.628362,16.176055,5.607817e+10,0.3905,0.4595
nmos,0.13u,mos_sf,0.8700,0.6000,1.455558e-03,6.367680e-03,4.098757e-04,1.756590e-14,4.374735,15.535637,5.769404e+10,0.3905,0.4795
nmos,0.13u,mos_sf,0.8900,0.6000,1.584928e-03,6.560264e-03,4.409896e-04,1.765360e-14,4.139156,14.876233,5.914366e+10,0.3905,0.4995
nmos,0.13u,mos_sf,0.9100,0.6000,1.717968e-03,6.734794e-03,4.740851e-04,1.773690e-14,3.920209,14.205876,6.043197e+10,0.3905,0.5195
nmos,0.13u,mos_sf,0.9300,0.6000,1.854320e-03,6.891774e-03,5.092857e-04,1.781580e-14,3.716604,13.532235,6.156669e+10,0.3905,0.5395
nmos,0.13u,mos_sf,0.9500,0.6000,1.993639e-03,7.031855e-03,5.467024e-04,1.789070e-14,3.527146,12.862309,6.255510e+10,0.3905,0.5595
nmos,0.13u,mos_sf,0.9700,0.6000,2.135594e-03,7.155798e-03,5.864338e-04,1.796170e-14,3.350730,12.202226,6.340606e+10,0.3905,0.5795
nmos,0.13u,mos_sf,0.9900,0.6000,2.279871e-03,7.264434e-03,6.285663e-04,1.802920e-14,3.186336,11.557148,6.412767e+10,0.3905,0.5995
nmos,0.13u,mos_sf,1.0100,0.6000,2.426172e-03,7.358630e-03,6.731752e-04,1.809330e-14,3.033021,10.931226,6.472906e+10,0.3905,0.6195
nmos,0.13u,mos_sf,1.0300,0.6000,2.574216e-03,7.439267e-03,7.203249e-04,1.815430e-14,2.889916,10.327655,6.521849e+10,0.3905,0.6395
